seed,N_SUB,split,kind,method,tau,metric,value
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.5116579319464312
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6576448861050539
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,100000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8680162440229219
123,250000,train,timing,sklearn_LP,0.1,fit_seconds,6971.074957043
123,250000,train,timing,sklearn_LP,0.1,n_iter,309058.0
123,250000,train,timing,sklearn_LP,0.5,fit_seconds,8734.975131283
123,250000,train,timing,sklearn_LP,0.5,n_iter,405250.0
123,250000,train,timing,sklearn_LP,0.9,fit_seconds,6716.275756504001
123,250000,train,timing,sklearn_LP,0.9,n_iter,307480.0
123,250000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.0015428000000000052
123,250000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.000703999999999979
123,250000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0008060854532636098
123,250000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.004332
123,250000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,2e-05
123,250000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,3e-05
123,250000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,8.966529445952477e-05
123,250000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.004296
123,250000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.001503599999999993
123,250000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0006943999999999764
123,250000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0008038071390893464
123,250000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.004324
123,250000,train,metric,sklearn_LP,0.1,pinball,0.05899968606167988
123,250000,train,metric,sklearn_LP,0.1,rmse,0.5859153365410426
123,250000,test,metric,sklearn_LP,0.1,pinball,0.05963829611445007
123,250000,test,metric,sklearn_LP,0.1,rmse,0.5866736832614923
123,250000,train,metric,sklearn_LP,0.5,pinball,0.13623401558994813
123,250000,train,metric,sklearn_LP,0.5,rmse,0.36931139940901153
123,250000,test,metric,sklearn_LP,0.5,pinball,0.1369076072236624
123,250000,test,metric,sklearn_LP,0.5,rmse,0.3702152356115105
123,250000,train,metric,sklearn_LP,0.9,pinball,0.06304791248772007
123,250000,train,metric,sklearn_LP,0.9,rmse,0.5830559006099741
123,250000,test,metric,sklearn_LP,0.9,pinball,0.06343164807772728
123,250000,test,metric,sklearn_LP,0.9,rmse,0.5847050826187986
123,250000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.79664
123,250000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8701335829254913
123,250000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.2306994419217736
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.31476758741624294
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.4616771096898222
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8701335829254913
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.49504667803544017
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.6679877239526554
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,250000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8701335829254913
