,experiment,experiment_group,seed,method,lower_tau,upper_tau,nominal_coverage,n,n_train,n_test,d,rho,covariance,noise_dist,sigma,heteroskedastic,hetero_strength,t_df,sparsity,lp_alpha,l1,l2,base_lr,batch_size,max_iter,fit_seconds_lower,fit_seconds_upper,fit_seconds,n_iter_lower,n_iter_upper,lower_test_pinball,upper_test_pinball,mean_test_pinball,lower_train_kkt_grad_inf,upper_train_kkt_grad_inf,coverage,mean_width,crossing_rate,winkler
10,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,128,5000,1.4785832170000504,1.4225407510002697,2.90112396800032,5000,5000,0.3042704217906947,0.2994686794674097,0.3018695506290522,0.012643225118152522,0.011079212489053348,0.961,19.877480560075103,0.0,24.149564050324162
11,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,128,5000,1.478725597000448,1.4666589079988626,2.9453845049993106,5000,5000,0.18295010159651764,0.22031969498094434,0.201634898288731,0.005374150746902761,0.006058612474921239,0.961,12.999856414054793,0.0,16.13079186309847
12,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,128,5000,1.8744955570000457,2.173542377000558,4.048037934000604,5000,5000,0.2899890967558211,0.2667741565440829,0.278381626649952,0.0033017559572066538,0.00554679252964551,0.971,19.021364158100024,0.0,22.27053013199615
13,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,128,5000,1.9183238239984348,1.4074942389997886,3.3258180629982235,5000,5000,0.2682549951751644,0.2628383515898785,0.26554667338252147,0.008341230321856904,0.007691015550684761,0.968,17.719376161084092,0.0,21.243733870601705
14,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,128,5000,1.4123907709999912,1.5219799149999744,2.9343706859999656,5000,5000,0.41592771597247896,0.385370633986605,0.400649174979542,0.012760064409943914,0.011544422577581594,0.975,28.363510278957243,0.0,32.051933998363346
15,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,256,5000,1.7119044099999883,1.6706355299993447,3.382539939999333,5000,5000,0.302637765974517,0.297625907734215,0.300131836854366,0.01133059664475901,0.010306379173126169,0.96,19.844927636573548,0.0,24.010546948349262
16,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,256,5000,1.703466381999533,2.445347036000385,4.148813417999918,5000,5000,0.18206340818045985,0.21822831922084876,0.2001458637006543,0.0047445497019762,0.005401486430921096,0.962,12.972415096584994,0.0,16.011669096052337
17,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,256,5000,2.238862544998483,1.6147988350003288,3.8536613799988118,5000,5000,0.2887188652793579,0.26601230655775765,0.27736558591855776,0.0027759993907142478,0.004336859381852258,0.972,18.997159093555954,0.0,22.189246873484613
18,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,256,5000,1.5817681409989746,1.593483364000349,3.1752515049993235,5000,5000,0.26491675357337297,0.26092701253098416,0.26292188305217856,0.005845469318083841,0.006599544636851864,0.969,17.68969508293212,0.0,21.033750644174273
19,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,256,5000,1.705411589000505,1.6670072759989125,3.3724188649994176,5000,5000,0.4121933145306581,0.38470487007606813,0.3984490923033631,0.011607504499875214,0.009678969333188944,0.975,28.33296072486348,0.0,31.87592738426903
20,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,512,5000,2.508661810999911,2.9451703230006387,5.45383213400055,5000,5000,0.3018102965579456,0.29569696280472546,0.29875362968133556,0.01046096749488298,0.008603235429097493,0.961,19.813931641612378,0.0,23.900290374506827
